t,logFC,status
-7.908280517,-1.128759543,1
-7.883713086,-0.7317092817,1
7.83193293,0.736896018,0
7.824760748,1.380292217,0
7.796175695,1.632912,0
-7.789495193,-1.234450102,1
7.777524257,1.746948202,0
-7.749788741,-0.8250775341,1
-7.733071979,-0.6366280718,1
7.726802248,0.9419655801,0
-7.714446706,-0.7480683327,1
-7.710675638,-0.549607396,1
7.661033202,1.246163606,0
-7.654774136,-0.8338502245,1
7.620814787,0.7751053175,0
-7.586447019,-0.8941627344,1
-7.58202503,-0.6655782063,1
7.579585044,1.731651505,0
-7.535203985,-0.8602228561,1
-7.531106183,-1.125830332,1
-7.53005594,-0.8591482245,1
-7.530047102,-3.132777214,1
-7.519478659,-0.5118098262,1
-7.515841139,-4.428411523,1
7.507779595,1.101147215,0
-7.483385708,-0.7555780011,1
-7.446864315,-1.002306501,1
7.418070142,0.7640200851,0
7.413927748,1.946121554,0
7.405425018,1.803303977,0
7.381530511,1.168623924,0
-7.364296275,-2.002338807,1
-7.363630655,-1.875936033,1
7.357747429,1.352722466,0
7.355316712,0.9233080535,0
-7.341693569,-0.561283151,1
7.33411822,0.9793712693,0
-7.333807572,-0.7390792766,1
-7.32110024,-1.021370769,1
7.308297926,0.9767255778,0
7.297539534,0.890282055,0
-7.294157496,-1.196394284,1
-7.285091228,-1.181460381,1
-7.28345593,-0.8039715291,1
7.282026076,0.6574334699,0
-7.265098038,-1.065600594,1
-7.257069239,-0.6823391119,1
-7.25038147,-0.7589584192,1
-7.226035124,-0.9083630637,1
7.214629974,0.8836452165,0
-7.209989943,-0.966424465,1
-7.209118877,-0.8028698742,1
7.200307885,0.7795328501,0
-7.187968519,-1.054402193,1
-7.18121164,-1.000293851,1
7.165174179,0.7204830645,0
-7.162804349,-0.6835568347,1
-7.154168947,-0.6603934763,1
-7.146400137,-0.7004433872,1
-7.14250568,-0.9948767027,1
-7.126499323,-2.105335673,1
7.122523454,1.62740608,0
-7.115989296,-0.5132886177,1
-7.094370778,-0.8911830586,1
-7.092519067,-1.402630965,1
-7.077948628,-0.8126077253,1
-7.068215057,-0.9828603267,1
-7.068158256,-1.815032165,1
7.062109524,1.428356131,0
-7.060999337,-0.8190965255,1
7.058188322,0.6001941762,0
-7.054558033,-0.8133724533,1
-7.052644762,-0.9988257083,1
-7.050634386,-0.6102190018,1
-7.047561979,-0.7397104101,1
-7.03703872,-0.6994222008,1
-7.031170418,-0.6351576647,1
7.022225387,2.05605499,0
7.021958261,1.37551409,0
7.015255496,1.715362986,0
7.013444871,1.268700442,0
7.001319315,0.8320234219,0
6.997666726,1.125019908,0
-6.994550774,-0.5744470756,1
-6.99259026,-0.9368512626,1
6.984414983,0.8152850071,0
6.969769107,1.173208793,0
-6.967248773,-0.7742055245,1
-6.93895795,-0.581567367,1
6.938768585,1.16716282,0
-6.935920751,-0.8642545539,1
-6.920733952,-1.019576947,1
-6.91585736,-0.9184424083,1
-6.907528222,-0.9135883647,1
-6.90126169,-0.9565444387,1
-6.893894216,-2.542991241,1
-6.886487946,-1.617969632,1
-6.868833965,-0.8167246579,1
6.867794914,0.8429794708,0
-6.853648721,-0.592290322,1
6.842030391,1.049027959,0
-6.841508759,-0.8608985346,1
6.838462759,0.9548187256,0
-6.822312137,-1.519562244,1
6.815582696,1.146413604,0
-6.803512378,-0.6609727543,1
-6.800345582,-0.4490766123,1
6.79041724,0.6732496816,0
-6.790118132,-0.7054925368,1
-6.786126272,-0.6421993574,1
-6.785293148,-0.6955933967,1
-6.778890649,-0.6917713087,1
-6.774184132,-0.716063539,1
-6.76691231,-1.446762959,1
-6.765814882,-0.545067309,1
-6.764672894,-0.5160362722,1
6.760043432,1.625849804,0
6.75689273,0.8278755743,0
6.756131984,0.6301173368,0
6.750280422,0.7352469363,0
-6.748166255,-0.7592678067,1
6.737710171,0.6658976872,0
-6.726443781,-1.902491013,1
-6.722246283,-0.9957215785,1
6.712533369,1.033973276,0
6.702238494,0.7636783125,0
-6.700181231,-1.841817697,1
6.697283958,2.197188695,0
6.695138878,0.566550891,0
-6.690211447,-1.176674366,1
6.688381601,1.579792063,0
-6.68505494,-1.003272295,1
-6.681835058,-1.334768653,1
-6.679709849,-0.5387147267,1
-6.675866792,-0.8284413017,1
-6.666253882,-0.5292037331,1
6.660158925,0.7009002365,0
-6.65716891,-1.308107019,1
-6.656782196,-1.98329401,1
6.623026004,2.43551151,0
-6.62119447,-0.8285731873,1
-6.612359871,-0.504292806,1
6.603590644,1.264618159,0
-6.60245786,-1.113109906,1
-6.601682012,-0.5793089072,1
6.600111063,0.7217843532,0
-6.585754177,-1.531366825,1
-6.585372576,-0.8488306203,1
-6.574910218,-1.140894175,1
-6.57126945,-1.004643202,1
-6.569047277,-0.7779627639,1
-6.563500302,-0.8572366242,1
6.554531918,0.6381075778,0
-6.55288489,-0.9558887478,1
6.552874814,2.765597463,0
-6.546334899,-1.116355697,1
